date,number_sold
2025-03-01,82
2025-03-02,67
2025-03-03,75
2025-03-04,87
2025-03-05,58
2025-03-06,85
2025-03-07,70
2025-03-08,72
2025-03-09,69
2025-03-10,77
2025-03-11,69
2025-03-12,74
2025-03-13,62
2025-03-14,64
2025-03-15,78
2025-03-16,87
2025-03-17,72
2025-03-18,88
2025-03-19,49
2025-03-20,58
2025-03-21,57
2025-03-22,64
2025-03-23,67
2025-03-24,77
2025-03-25,60
2025-03-26,75
2025-03-27,72
2025-03-28,78
2025-03-29,84
2025-03-30,93
2025-03-31,94
2025-04-01,104
2025-04-02,88
2025-04-03,89
2025-04-04,97
2025-04-05,72
2025-04-06,77
2025-04-07,94
2025-04-08,69
2025-04-09,68
2025-04-10,65
2025-04-11,77
2025-04-12,78
2025-04-13,91
2025-04-14,95
2025-04-15,77
2025-04-16,65
2025-04-17,87
2025-04-18,92
2025-04-19,74
2025-04-20,45
2025-04-21,56
2025-04-22,63
2025-04-23,65
2025-04-24,59
2025-04-25,67
2025-04-26,74
2025-04-27,97
2025-04-28,89
2025-04-29,77
2025-04-30,76
2025-05-01,68
2025-05-02,75
2025-05-03,66
2025-05-04,67
2025-05-05,99
2025-05-06,94
2025-05-07,49
2025-05-08,55
2025-05-09,66
2025-05-10,89
2025-05-11,74
2025-05-12,56
2025-05-13,77
2025-05-14,80
2025-05-15,87
2025-05-16,92
2025-05-17,50
2025-05-18,61
2025-05-19,69
2025-05-20,71
2025-05-21,84
2025-05-22,87
2025-05-23,65
2025-05-24,59
2025-05-25,55
2025-05-26,59
2025-05-27,55
2025-05-28,67
2025-05-29,63
2025-05-30,66
2025-05-31,67
2025-06-01,59
2025-06-02,76
2025-06-03,81
2025-06-04,55
2025-06-05,59
2025-06-06,61
2025-06-07,66
2025-06-08,69
2025-06-09,71
2025-06-10,94
2025-06-11,92
2025-06-12,99
2025-06-13,78
2025-06-14,93
2025-06-15,84
2025-06-16,75
2025-06-17,77
2025-06-18,64
2025-06-19,68
2025-06-20,70
2025-06-21,71
2025-06-22,74
2025-06-23,79
2025-06-24,77
2025-06-25,71
2025-06-26,67
2025-06-27,80
2025-06-28,82
2025-06-29,77
2025-06-30,79
2025-07-01,67
2025-07-02,68
2025-07-03,69
2025-07-04,74
2025-07-05,71
2025-07-06,69
2025-07-07,72
2025-07-08,87
2025-07-09,62
2025-07-10,57
2025-07-11,55
2025-07-12,55
2025-07-13,67
2025-07-14,70
2025-07-15,59
2025-07-16,55
2025-07-17,56
2025-07-18,60
2025-07-19,61
2025-07-20,66
2025-07-21,69
2025-07-22,72
2025-07-23,40
2025-07-24,68
2025-07-25,72
2025-07-26,67
2025-07-27,49
2025-07-28,55
2025-07-29,63
2025-07-30,55
2025-07-31,67
2025-08-01,61
2025-08-02,63
2025-08-03,80
2025-08-04,84
2025-08-05,91
2025-08-06,61
2025-08-07,79
2025-08-08,71
2025-08-09,72
2025-08-10,60
2025-08-11,61
2025-08-12,68
2025-08-13,70
2025-08-14,77
2025-08-15,71
2025-08-16,88
2025-08-17,79
2025-08-18,70
2025-08-19,82
2025-08-20,79
2025-08-21,71
2025-08-22,97
2025-08-23,95
2025-08-24,97
2025-08-25,102
2025-08-26,107
2025-08-27,108
2025-08-28,89
2025-08-29,90
2025-08-30,98
2025-08-31,99
2025-09-01,103
2025-09-02,109
2025-09-03,111
2025-09-04,103
2025-09-05,107
2025-09-06,91
2025-09-07,97
2025-09-08,82
2025-09-09,87
2025-09-10,91
2025-09-11,84
2025-09-12,87
2025-09-13,90
2025-09-14,97
2025-09-15,72
2025-09-16,69
2025-09-17,77
2025-09-18,63
2025-09-19,69
2025-09-20,74
2025-09-21,75
2025-09-22,71
2025-09-23,97
2025-09-24,98
2025-09-25,90
2025-09-26,104
2025-09-27,109
2025-09-28,102
2025-09-29,104
2025-09-30,109
2025-10-01,111
2025-10-02,103
2025-10-03,99
2025-10-04,87
2025-10-05,76
2025-10-06,71
2025-10-07,90
2025-10-08,94
2025-10-09,99
2025-10-10,92
2025-10-11,94
2025-10-12,109
2025-10-13,111
2025-10-14,107
2025-10-15,101
2025-10-16,108
