Model,RMSE,MAE,MAPE,R2,Product
Linear Regression,7.403685803122467e-14,5.988860201406559e-14,5.823076398706904e-14,1.0,Americano Coffee
Ridge Regression,1.243272949917906,0.992536795760199,0.9695673066654846,0.9672791213859462,Americano Coffee
Random Forest,3.0918833834966777,2.364285714285715,2.338019108293982,0.7976336969435143,Americano Coffee
Gradient Boosting,3.7918902251318114,2.7854755158332227,2.7284545206135857,0.6956288400505201,Americano Coffee
SVR,9.212685784533148,7.979747842381484,7.672705646316287,-0.7966542343071252,Americano Coffee
Linear Regression,3.2781914857754743e-14,2.8929239955946934e-14,3.074366912840675e-14,1.0,Cappuccino Coffee
Ridge Regression,4.841118817652952,3.6347297799466305,3.7505443330937838,0.8666954770683952,Cappuccino Coffee
Random Forest,8.857589562468046,6.640000000000001,6.791319094336943,0.5537435503061611,Cappuccino Coffee
Gradient Boosting,10.97582673285817,8.408369018858801,8.845296617133243,0.31478338303299835,Cappuccino Coffee
SVR,18.62092488207699,15.947297432195219,15.827327558698132,-0.9722224475154524,Cappuccino Coffee
Linear Regression,5.485792248165372e-14,4.948422624043555e-14,7.211665787837942e-14,1.0,Croissant
Ridge Regression,5.268719002877349,4.150991005587153,6.095503164372127,0.745930146906639,Croissant
Random Forest,6.2895840766415425,5.320357142857142,7.695748506406044,0.6379346898749694,Croissant
Gradient Boosting,7.747415580407366,6.621850117462719,9.501140092796929,0.4506403370384615,Croissant
SVR,12.488754696937358,10.594012597621534,13.988248760222637,-0.42751714591736434,Croissant
